Candidate,Constituency
Sridhar,Gummidipoondi
Rajathi,Ponneri
Chandran,Tiruttani
Senthil Kumar,Thiruvallur
Mehala,Poonamallee
Punitha,Avadi
Revathi,Maduravoyal
Aadhithan,Ambattur
Kruthika Elumalai,Madavaram
Sathya Baskar,Thiruvottiyur
Vennila Thayumanavan,Dr.Radhakrishnan Nagar
Vetrithamizhan,Perambur
Soundrapandian,Kolathur
Roshini,Villivakkam
Jegadeesh Chander,Thiru-Vi-Ka-Nagar
Saranya,Egmore
Babumailan,Royapuram
Rufhkhan Sheriff,Harbour
Ayisha Beham,Chepauk-Thiruvallikeni
Kalanjiyam,Thousand Lights
C. Shankar,Anna Nagar
Santhosh,Virugampakkam
Srividhya,Saidapet
Anusha Vijayakumar,Thiyagarayanagar
Arun,Mylapore
Keerthana,Velachery
jayalakshmi Raman,Shozhinganallur
Mahalakshmi,Alandur
Sindhu,Sriperumbudur
Karthikeyan,Pallavaram
Tamilselvi,Tambaram
Amutha Nambiyar,Chengalpattu
Ambethrajan,Thiruporur
Swathi Lakshmi,Cheyyur
Janaki Raman,Madurantakam
Maram maasilamani,Uthiramerur
Vetriselvi,Kancheepuram
Raj Kumar,Arakkonam
Ashok Kumar,Sholingur
Thirukumaran,Katpadi
Tharikka salman,Ranipet
Archaha,Arcot
Soniya,Vellore
Ravi Kumar,Anaikattu
Kalaiyendri,Kilvaithinankuppam
Imalan,Gudiyattam
Murugesan,Vaniyambadi
Afsia Thoufic Bikrid,Ambur
Sasi Rekha,Jolarpet
Aarumugam,Tirupattur
Megala,Uthangarai
Kavin,Bargur
Suganthi Parthiban,Krishnagiri
Nagaraj,Veppanahalli
Stalin,Hosur
Narasimman,Thalli
Boopathy,Palacode
Palaniyammal,Pennagaram
Santha Lakshmi,Dharmapuri
Archana Tamil Aruvi,Pappireddippatti
Anitha Annadurai,Harur
J Shobha,Chengam
Vignesh,Tiruvannamalai
V. Loganathan,Kilpennathur
Seetha,Kalasapakkam
umadevi prakash,Polur
Thavamani Ramesh,Arani
Tamil Selvan,Cheyyar
Ganesh,Vandavasi
Krishnan,Gingee
Vijay Vikram,Mailam
Petchimuthu,Tindivanam
Karikazhan,Vanur
Abhinaya Ponnivalavan,Villupuram
Suba chandrasekaran,Vikravandi
Hemarajan,Tirukkoyilur
Logeshwari,Ulundurpettai
Radhika,Rishivandiyam
Ramesh,Sankarapuram
Nagammal,Kallakurichi
Abirami Neduncheralathan,Gangavalli
Monisha chinnadurai,Attur
Palanisamy,Yercaud
Siva Sakthi,Omalur
Vidhya Veerapan,Mettur
Priyadharshini,Edappadi
Nithya Arul,Sankari
Suresh Kumar,Salem (West)
Gunaseela,Salem (North)
Sophiya,Salem (South)
Rajesh Kumar,Veerapandi
Sasikala,Rasipuram
Ponnumani,Senthamangalam
Praveen,Namakkal
Aravindh,Paramathi-Velur
Revathi,Tiruchengodu
Yuvarani,Kumarapalayam
Thandava Moorthy,Erode (East)
Vijay,Erode (West)
Arun,Modakkurichi
divya,Dharapuram (SC)
Karmegan,Kangayam
Logu,Perundurai
Menaka Devi,Bhavani
Anandhi,Anthiyur
Seetha Lakshmi,Gobichettipalayam
Soundarya,Bhavanisagar
Ragupathu Deepan,Udhagamandalam
Karthik Ramakrishnan,Gudalur
dheenu,Coonoor
Gopalakrishnan,Mettuppalayam
Menaga,Avanashi (SC)
Abhinaya,Tiruppur (North)
Perarivalan,Tiruppur (South)
Thamizhinian,Palladam
Rajasekhar,Sulur
Kalamani,Kavundampalayam
Narmatha,Coimbatore (North)
Rajabunisha,Thondamuthur
