AC No.,Constituency,Winner,Party
1,Gummidipoondi,T. J. Govindarajan,DMK
2,Ponneri,Durai Chandrasekar,INC
3,Tiruttani,S. Chandran,DMK
4,Thiruvallur,V. G. Raajendran,DMK
5,Poonamallee,A. Krishnaswamy,DMK
6,Avadi,S. M. Nasar,DMK
7,Maduravoyal,K. Ganapathy,DMK
8,Ambattur,Joseph Samuel,DMK
9,Madavaram,S. Sudharsanam,DMK
10,Thiruvottiyur,K. P. Shankar,DMK
11,Dr. R. K. Nagar,J. John Ebenezer,DMK
12,Perambur,R. D. Shekar,DMK
13,Kolathur,M. K. Stalin,DMK
14,Villivakkam,A. Vetriazhagan,DMK
15,Thiru-Vi-Ka-Nagar,P. Sivakumar,DMK
16,Egmore,I. Paranthamen,DMK
17,Royapuram,Idream R. Murthy,DMK
18,Harbour,P. K. Sekar Babu,DMK
19,Chepauk-Thiruvallikeni,Udhayanidhi Stalin,DMK
20,Thousand Lights,Ezhilan Naganathan,DMK
116,Sulur,V. P. Kandasamy,AIADMK
159,Kattumannarkoil,M. Sinthanai Selvan,VCK
83,Yercaud,G. Chitra,AIADMK
56,Thalli,T. Ramachandran,CPI
184,Karaikudi,S. Mangudi,INC
